conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1.77851E+18;Fri Apr 12 12:56:44 +0000 2024;16;"@diidot @jokoanwar awalnya stlh nonton siksa kubur merasa filmnya B aja karena ga segokill pengabdi setan.. ternyata ngeri &amp; merindingnya muncul pas banyak review diskusi &amp; pembahasan seperti yg dibuat kak @diidot ini.. jadi merinding dan keinget lagi scene-scene dar der dor di ending filmnya..";1.77877E+18;;diidot;in;Malang, East Java;0;1;1;https://twitter.com/afrizal_ananta/status/1778769217741013156;575039342;afrizal_ananta
1.77892E+18;Fri Apr 12 23:14:29 +0000 2024;0;Review siksa kubur ini bakal panjang sih :);1.77892E+18;;;in;Kuningan, Indonesia;0;0;0;https://twitter.com/Pratamaagi/status/1778924679639748994;139606142;Pratamaagi
1.77862E+18;Fri Apr 12 03:21:31 +0000 2024;1;@baksocious siksa kubur aja deh KKN kan pasti kyk kmrn klo aku liat review nyaa mah heheh;1.77862E+18;;baksocious;in;~•OPEN•~;0;1;0;https://twitter.com/itzyournoona_/status/1778624459462869343;8.04704E+17;itzyournoona_
1.77904E+18;Sat Apr 13 08:23:15 +0000 2024;1;@riojohan Ini review yg saya paling suka soal film Siksa Kubur. Salut Rio;1.77906E+18;;riojohan;in;Jakarta Capital Region, Indone;0;1;0;https://twitter.com/fibay/status/1779062783344279797;19482779;fibay
1.77897E+18;Sat Apr 13 02:28:44 +0000 2024;0;@piyakiyak Kalo dari review keknya mending siksa kubur;1.77897E+18;;piyakiyak;in;?x?-? ????;0;1;0;https://twitter.com/Nasehunna/status/1778973567218319687;1.17306E+18;Nasehunna
1.77826E+18;Thu Apr 11 03:25:47 +0000 2024;15;Review kami untuk film Siksa Kubur bisa dibaca di tab Like dan highlight profile https://t.co/cTP0m8xPyS;1.77826E+18;;WatchmenID;in;Indonesia;1;0;1;https://twitter.com/WatchmenID/status/1778263146442190936;9.50632E+17;WatchmenID
1.77937E+18;Sun Apr 14 04:43:26 +0000 2024;0;Sengaja td malam malmingan nonton Film Siksa Kubur l @jokoanwar tanpa baca/lihat review dulu. Cuma nonton trailer yang diposting bang jokan aja. Ternyata bberapa detail kelewat. Emang nonton film bang Jokan gbs cuma sekali nonton sih. Salut banget sm semua castnya. Gila https://t.co/UXgfdWfJgn;1.77937E+18;https://pbs.twimg.com/media/GLGXckqa8AAlaiB.jpg;;in;Indonesia;0;0;0;https://twitter.com/naqiibah/status/1779369853377458506;321896189;naqiibah
1.77837E+18;Thu Apr 11 10:48:04 +0000 2024;0;"Spill dan review jangan? Kalau bowle dan pada penasaran saya akan membuat thread dengan judul -&gt; Siksa Kubur: Film Gagal Pertama Joko Anwar?!";1.77837E+18;;;in;Jakarta Capital Region;0;2;0;https://twitter.com/Cak_Haeder/status/1778374452998533263;722198846;Cak_Haeder
1.7786E+18;Fri Apr 12 01:30:03 +0000 2024;0;Nungguin dari tadi malem katanya orang mau review film siksa kubur.;1.7786E+18;;;in;;0;0;0;https://twitter.com/fatun73/status/1778596411225026705;1.70406E+18;fatun73
1.77913E+18;Sat Apr 13 13:10:03 +0000 2024;0;@arkaIfrani Review siksa kubur dulu;1.77913E+18;;arkaIfrani;in;CA;0;1;0;https://twitter.com/apopecalypse/status/1779134957451202930;342511861;apopecalypse
